key_resp.corr,key_resp.rt,,,,,seqRT,ranRT,,,,,
1,0.5416478,,,,,,,,,,,
1,0.8949435,,,,,,,,,,,
1,0.7913648,,,,,,,,,,,
1,0.9273624,,,,,,,,,,,
1,0.719,,,,,,,,,,,
1,0.6703073,,,,,,,,,,,
1,0.6773762,,,,,,,,,,,
1,1.1424058,,,,,,,,,,,
1,0.7328291,,,,,,,,,,,
1,0.6749311,,,,,,,,,,,
1,0.7279315,,,,,,,,,,,
1,1.335534,,,,,,,,,,,
1,0.842187,,,,,,,,,,,
1,0.8968468,,,,,,,,,,,
1,0.8419618,,,,,,,,,,,
1,0.8505322,,,,,,,,,,,
1,0.9087267,,,,,,,,,,,
1,0.3708298,,,,,,,,,,,
1,0.4301859,,,,,,,,,,,
1,0.8602786,,,,,,,,,,,
1,0.368567,,,,,,,,,,,
1,0.949743,,,,,,,,,,,
1,0.3731019,,,,,,,,,,,
1,0.9284164,,,,,,,,,,,
1,0.8119615,,,,,,,,,,,
1,0.6540631,,,,,,,,,,,
1,1.6113398,,,,,,,,,,,
1,0.7691682,,,,,,,,,,,
1,1.1648578,,,,,,,,,,,
1,1.5681004,,,,,,,,,,,
1,1.9305384,,,,,,,,,,,
1,1.0260013,,,,,,,,,,,
1,0.444441,,,,,,,,,,,
1,0.8911368,,,,,,,,,,,
1,0.6168307,,,,,,,,,,,
1,0.8367379,,,,,,,,,,,
1,0.8206206,,,,,,,,,,,
1,1.0132416,,,,,,,,,,,
1,0.7531326,,,,,,,,,,,
1,0.5713889,,,,,,,,,,,
1,0.4857988,,,,,,,,,,,
1,1.0737966,,,,,,,,,,,
1,0.7433009,,,,,,,,,,,
1,0.7988696,,,,,,,,,,,
1,0.873832,,,,,,,,,,,
1,0.9673654,,,,,,,,,,,
1,0.9260902,,,,,,,,,,,
1,0.97368,,,,,,,,,,,
1,0.6406889,,,,,,,,,,,
1,0.7853224,,,,,,,,,,,
1,0.841055,,,,,,,,,,,
1,0.8751626,,,,,,,,,,,
1,0.5986256,,,,,,,,,,,
1,0.4059072,,,,,,,,,,,
1,0.6898308,,,,,,,,,,,
1,0.6655242,,,,,,,,,,,
1,1.0193457,,,,,,,,,,,
1,0.8537944,,,,,,,,,,,
1,0.9198896,,,,,,,,,,,
1,0.5344345,,,,,,,,,,,
1,0.5315431,,,,,,,,,,,
1,0.9294846,,,,,,,,,,,
1,0.5154059,,,,,,,,,,,
1,0.6469857,,,,,,,,,,,
1,1.060632,,,,,,,,,,,
1,0.6787348,,,,,,,,,,,
1,1.9796179,,,,,,,,,,,
1,0.5745364,,,,,,,,,,,
1,0.7043514,,,,,,,,,,,
1,0.4941401,,,,,,,,,,,
1,0.8744029,,,,,,,,,,,
1,0.8430525,,,,,,,,,,,
1,0.894054,,,,,,,,,,,
1,0.6237622,,,,,,,,,,,
1,0.6118958,,,,,,,,,,,
1,0.9389023,,,,,,,,,,,
1,0.6018984,,,,,,,,,,,
1,0.3391315,,,,,,,,,,,
1,0.7951977,,,,,,,,,,,
1,0.3203512,,,,,,,,,,,
1,0.7786603,,,,,,,,,,,
1,0.9872679,,,,,,,,,,,
1,1.7441141,,,,,,,,,,,
1,0.6200474,,,,,,,,,,,
1,0.4329568,,,,,,,,,,,
1,0.9246244,,,,,,,,,,,
1,1.2131126,,,,,,,,,,,
1,0.8221381,,,,,,,,,,,
1,0.9204815,,,,,,,,,,,
1,1.1163891,,,,,,,,,,,
1,0.6843789,,,,,,,,,,,
1,0.7908487,,,,,,,,,,,
1,0.5984469,,,,,,,,,,,
1,0.6974578,,,,,,,,,,,
1,0.5437299,,,,,,,,,,,
1,0.7460086,,,,,,,,,,,
1,0.6534361,,,,,,,,,,,
1,0.8742284,,,,,,,,,,,
1,0.951185,,,,,,,,,,,
1,0.7806201,,,,,,,,,,,
1,0.7503518,,,,,,,,,,,
1,0.7584,,,,,,,,,,,
1,2.0652773,,,,,,,,,,,
1,0.6921188,,,,,,,,,,,
1,0.4343934,,,,,,,,,,,
1,0.5306212,,,,,,,,,,,
1,0.6802074,,,,,,,,,,,
1,0.5636514,,,,,,,,,,,
1,0.4566521,,,,,,,,,,,
1,1.1883981,,,,,,,,,,,
1,0.7683651,,,,,,,,,,,
1,3.5550337,,,,,,,,,,,
1,0.7860573,,,,,,,,,,,
1,0.8127104,,,,,,,,,,,
1,0.5298959,,,,,,,,,,,
1,2.6362094,,,,,,,,,,,
1,0.4463226,,,,,,,,,,,
1,0.8803286,,,,,,,,,,,
1,0.6923075,,,,,,,,,,,
1,0.5987492,,,,,,,,,,,
1,1.1402466,,,,,,,,,,,
1,0.686633,,,,,,,,,,,
1,0.4868458,,,,,,,,,,,
1,0.552806,,,,,,,,,,,
1,2.4218258,,,,,,,,,,,
1,1.1721858,,,,,,,,,,,
1,0.752398,,,,,,,,,,,
1,0.3270146,,,,,,,,,,,
1,0.5954644,,,,,,,,,,,
1,4.5828819,,,,,,,,,,,
0,2.9096543,,,,,,,,,,,
1,2.2865794,,,,,,,,,,,
1,1.1903404,,,,,,,,,,,
1,2.7121879,,,,,,,,,,,
1,1.1411671,,,,,,,,,,,
1,0.7408861,,,,,,,,,,,
1,1.337715,,,,,,,,,,,
1,4.2604916,,,,,,,,,,,
1,1.2832057,,,,,,,,,,,
1,0.8812459,,,,,,,,,,,
1,1.080274,,,,,,,,,,,
1,1.1775882,,,,,,,,,,,
1,1.9879303,,,,,,,,,,,
1,7.647494,,,,,,,,,,,
1,0.8413412,,,,,,,,,,,
1,2.6210819,,,,,,,,,,,
1,0.3899639,,,,,,,,,,,
1,0.8709548,,,,,,,,,,,
1,0.7866347,,,,,,,,,,,
1,1.3655707,,,,,,,,,,,
1,0.9869772,,,,,,,,,,,
1,0.4535518,,,,,,,,,,,
1,0.681837,,,,,,,,,,,
1,0.391556,,,,,,,,,,,
0,0.6936763,,,,,,,,,,,
